arquivo,linha,metodo,rota,protecoes_detectadas,status,achado
apps/api/src/index.ts,101,GET,/api/health,-,Público/guard custom - revisado manualmente,-
apps/api/src/index.ts,105,GET,/api/system/network,requireAuth; requirePlatformAdmin; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/auth.ts,370,POST,/register,-,Público intencional - cadastro com validação/rate limit,-
apps/api/src/routes/auth.ts,416,POST,/login,-,Público intencional - autenticação/rate limit,-
apps/api/src/routes/auth.ts,473,POST,/login/2fa,-,Público intencional - desafio 2FA/rate limit,-
apps/api/src/routes/auth.ts,489,POST,/login/2fa-only,-,Público intencional - recuperação 2FA/rate limit,-
apps/api/src/routes/auth.ts,515,POST,/session/restore,-,Público intencional - cookie de sessão lembrada,-
apps/api/src/routes/auth.ts,533,GET,/me,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/auth.ts,539,PATCH,/me,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/auth.ts,558,POST,/password-reset/request,-,Público intencional - recuperação/rate limit,-
apps/api/src/routes/auth.ts,596,POST,/password-reset/confirm,-,Público intencional - token one-time,-
apps/api/src/routes/auth.ts,649,POST,/password,requireAuth,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/auth.ts,653,POST,/password-policy/check,-,Público/guard custom - revisado manualmente,-
apps/api/src/routes/auth.ts,659,GET,/2fa/status,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/auth.ts,663,GET,/2fa/trusted-devices,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/auth.ts,668,DELETE,/2fa/trusted-devices/:deviceId,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/auth.ts,678,DELETE,/2fa/trusted-devices,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/auth.ts,684,POST,/2fa/setup,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/auth.ts,691,POST,/2fa/enable,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/auth.ts,700,POST,/2fa/recovery-codes,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/auth.ts,707,POST,/2fa/disable,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/auth.ts,722,GET,/sessions,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/auth.ts,726,DELETE,/sessions/:sessionId,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/auth.ts,734,POST,/logout,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/auth.ts,742,POST,/logout-all,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/channels.ts,16,GET,/channels/:channelId/messages,requireAuth; requireChannelCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,33,GET,/communities,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,63,POST,/communities/:guildId/join,requireAuth; requireChannelCapability; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
apps/api/src/routes/community.ts,129,GET,/channels/:channelId/forum,requireAuth; req.auth!.sub,Revisado - autenticado/autorizado ou autoescopado,-
